_merge,game_name_o,Nombre_Original,publish_date_o,Fecha_de_lanzamiento_Original,game_name_s,Nombre_Secuela,publish_date_s,Fecha_de_lanzamiento_Secuela,score_o,Reseñas_positivas_Original,Reseñas_negativas_Original,score_s,Reseñas_positivas_Secuela,Reseñas_negativas_Secuela
both,A Plague Tale: Innocence,A Plague Tale: Innocence,2019-05-13 04:00:00,2019-05-14,A Plague Tale: Requiem,A Plague Tale: Requiem,2022-10-17 11:00:00,2022-10-17,8.0,58010.0,4066.0,7.0,17807.0,1721.0
both,Amnesia: The Dark Descent,Amnesia: The Dark Descent,2010-09-30 05:57:28,2010-09-08,Amnesia: A Machine for Pigs,Amnesia: A Machine for Pigs,2013-09-09 06:00:00,2013-09-10,8.5,31865.0,1815.0,8.0,7775.0,3419.0
both,Amnesia: The Dark Descent,Amnesia: The Dark Descent,2010-09-30 05:57:28,2010-09-08,Amnesia: Rebirth,Amnesia: Rebirth,2020-10-19 06:00:00,2020-10-20,8.5,31865.0,1815.0,8.0,6535.0,1969.0
both,Amnesia: The Dark Descent,Amnesia: The Dark Descent,2010-09-30 05:57:28,2010-09-08,Amnesia: The Bunker,Amnesia: The Bunker,2023-06-05 06:00:00,2023-06-06,8.5,31865.0,1815.0,8.0,7902.0,533.0
both,Baldur's Gate,Baldur's Gate: Enhanced Edition,1999-01-20 12:00:00,2013-01-16,Baldur's Gate 3,Baldur's Gate 3,2020-11-02 07:25:00,2023-08-03,8.4,14902.0,1263.0,8.0,709860.0,23273.0
both,BlazBlue: Calamity Trigger,BlazBlue: Calamity Trigger,2009-08-04 05:04:35,2014-02-13,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle,2018-06-06 10:00:00,2019-11-20,8.0,2684.0,432.0,9.0,3537.0,879.0
both,Company of Heroes,Company of Heroes,2006-09-11 04:45:00,2006-09-11,Company of Heroes 2,Company of Heroes 2,2013-06-25 06:19:08,2013-06-25,9.0,15646.0,915.0,7.5,86058.0,22941.0
both,Dead Island,Dead Island Definitive Edition,2011-09-06 02:36:51,2016-05-31,Dead Island 2,Dead Island 2,2023-04-18 07:00:00,2024-04-22,7.0,20546.0,4503.0,7.0,9104.0,2668.0
both,Dead Island,Dead Island Definitive Edition,2011-09-06 02:36:51,2016-05-31,Dead Island: Riptide,Dead Island: Riptide Definitive Edition,2013-04-22 12:00:00,2016-05-31,7.0,20546.0,4503.0,4.0,8104.0,3236.0
both,Desperados: Wanted Dead or Alive,Desperados: Wanted Dead or Alive,2001-07-23 02:42:34,2013-11-20,Desperados III,Desperados III,2020-07-10 09:00:00,2020-06-16,6.8,1936.0,270.0,9.0,13804.0,471.0
both,Dishonored,Dishonored,2012-10-07 09:01:00,2012-10-08,Dishonored 2,Dishonored 2,2016-11-12 01:07:00,2016-11-11,8.5625,79720.0,1929.0,8.0,55345.0,6565.0
both,EA Sports FC 24,EA SPORTS FC™ 24,2023-10-04 03:08:00,2023-09-28,EA Sports FC 25,EA SPORTS FC™ 25,2024-09-27 01:25:00,2024-09-26,7.0,62361.0,45834.0,6.0,27017.0,29259.0
both,EA Sports FC 24,EA SPORTS FC™ 24,2023-10-04 03:08:00,2023-09-28,EA Sports FC 25,EA SPORTS FC™ 25,2024-09-27 01:25:00,2024-09-26,7.0,62361.0,45834.0,6.0,0.0,0.0
both,EA Sports FC 24,EA SPORTS FC™ 24,2023-10-04 03:08:00,2023-09-28,EA Sports FC 25,EA SPORTS FC™ 25,2024-09-27 01:25:00,2024-09-26,7.0,62361.0,45834.0,6.0,0.0,0.0
both,EA Sports FC 24,EA SPORTS FC™ 24,2023-10-04 03:08:00,2023-09-28,EA Sports FC 25,EA SPORTS FC™ 25,2024-09-27 01:25:00,2024-09-26,7.0,62361.0,45834.0,6.0,0.0,0.0
both,Eiyuden Chronicle: Rising,Eiyuden Chronicle: Rising,2022-05-12 01:50:00,2022-05-10,Eiyuden Chronicle: Hundred Heroes,Eiyuden Chronicle: Hundred Heroes,2024-04-25 11:21:00,2024-04-23,7.0,1878.0,296.0,8.0,2857.0,808.0
both,Far Cry,Far Cry®,2004-03-23 04:59:05,2008-04-01,Far Cry 4,Far Cry® 4,2014-11-17 09:27:00,2014-11-17,7.966666666666666,8006.0,1757.0,7.0,49740.0,9336.0
both,Far Cry,Far Cry®,2004-03-23 04:59:05,2008-04-01,Far Cry 5,Far Cry® 5,2018-04-08 01:02:00,2018-03-26,7.966666666666666,8006.0,1757.0,9.0,136456.0,32202.0
both,Far Cry,Far Cry®,2004-03-23 04:59:05,2008-04-01,Far Cry 6,Far Cry® 6,2021-10-06 04:00:00,2023-05-11,7.966666666666666,8006.0,1757.0,7.0,18143.0,7207.0
